_id,quarter,industry1,industry2,industry3,employment_change
2348,2011-Q2,manufacturing,transport equipment,transport equipment,1.2
2349,2011-Q2,manufacturing,other manufacturing industries,other manufacturing industries,0.3
2350,2011-Q2,construction,construction,construction,4.8
2351,2011-Q2,services,wholesale and retail trade,wholesale trade,1.8
2352,2011-Q2,services,wholesale and retail trade,retail trade,0.4
2353,2011-Q2,services,transportation and storage,land transport and supporting services,0.5
2354,2011-Q2,services,transportation and storage,water transport and supporting services,0.7
2355,2011-Q2,services,transportation and storage,air transport and supporting services,0.5
2356,2011-Q2,services,transportation and storage,other transportation and storage services,1.2
2357,2011-Q2,services,accommodation and food services,accommodation,-0.2
2358,2011-Q2,services,accommodation and food services,food and beverage services,0.9
2359,2011-Q2,services,information and communications,"telecommunications, broadcasting and publishing",0.2
2360,2011-Q2,services,information and communications,it and other information services,1.7
2361,2011-Q2,services,financial and insurance services,financial services,1.3
2362,2011-Q2,services,financial and insurance services,insurance services,0.1
2363,2011-Q2,services,real estate services,real estate services,0.4
2364,2011-Q2,services,professional services,"legal, accounting and management services",0.8
2365,2011-Q2,services,professional services,architectural and engineering services,1.1
2366,2011-Q2,services,professional services,other professional services,0.4
2367,2011-Q2,services,administrative and support services,security and investigation,0.2
2368,2011-Q2,services,administrative and support services,cleaning and landscaping,0.1
2369,2011-Q2,services,administrative and support services,other administrative and support services,4
2370,2011-Q2,services,"community, social and personal services",public administration and education,-0.1
2371,2011-Q2,services,"community, social and personal services",public administration,-1.8
2372,2011-Q2,services,"community, social and personal services",education,1.7
2373,2011-Q2,services,"community, social and personal services",health and social services,2.2
2374,2011-Q2,services,"community, social and personal services","arts, entertainment and recreation",-0.1
2375,2011-Q2,services,"community, social and personal services","other community, social and personal services",0.1
2376,2011-Q2,others,others,others,-
2377,2011-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",0.5
2378,2011-Q3,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-0.2
2379,2011-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-
2380,2011-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",2.2
2381,2011-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-1.2
2382,2011-Q3,manufacturing,transport equipment,transport equipment,2.6
2383,2011-Q3,manufacturing,other manufacturing industries,other manufacturing industries,0.2
2384,2011-Q3,construction,construction,construction,6.5
2385,2011-Q3,services,wholesale and retail trade,wholesale trade,1.3
2386,2011-Q3,services,wholesale and retail trade,retail trade,0.7
2387,2011-Q3,services,transportation and storage,land transport and supporting services,-
2388,2011-Q3,services,transportation and storage,water transport and supporting services,1.3
2389,2011-Q3,services,transportation and storage,air transport and supporting services,0.3
2390,2011-Q3,services,transportation and storage,other transportation and storage services,-
2391,2011-Q3,services,accommodation and food services,accommodation,1.3
2392,2011-Q3,services,accommodation and food services,food and beverage services,1.6
2393,2011-Q3,services,information and communications,"telecommunications, broadcasting and publishing",0.5
2394,2011-Q3,services,information and communications,it and other information services,2
2395,2011-Q3,services,financial and insurance services,financial services,2.9
2396,2011-Q3,services,financial and insurance services,insurance services,-0.1
2397,2011-Q3,services,real estate services,real estate services,0.5
2398,2011-Q3,services,professional services,"legal, accounting and management services",1.8
2399,2011-Q3,services,professional services,architectural and engineering services,0.7
2400,2011-Q3,services,professional services,other professional services,0.7
2401,2011-Q3,services,administrative and support services,security and investigation,1
2402,2011-Q3,services,administrative and support services,cleaning and landscaping,0.2
2403,2011-Q3,services,administrative and support services,other administrative and support services,-1
2404,2011-Q3,services,"community, social and personal services",public administration and education,0.8
2405,2011-Q3,services,"community, social and personal services",public administration,-0.5
2406,2011-Q3,services,"community, social and personal services",education,1.3
2407,2011-Q3,services,"community, social and personal services",health and social services,1.9
2408,2011-Q3,services,"community, social and personal services","arts, entertainment and recreation",0.8
2409,2011-Q3,services,"community, social and personal services","other community, social and personal services",1.4
2410,2011-Q3,others,others,others,0.3
2411,2011-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",-0.1
2412,2011-Q4,manufacturing,paper / rubber / plastic products and printing,paper / rubber / plastic products and printing,-
2413,2011-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-0.5
2414,2011-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",-0.3
2415,2011-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",-1.5
2416,2011-Q4,manufacturing,transport equipment,transport equipment,1.7
2417,2011-Q4,manufacturing,other manufacturing industries,other manufacturing industries,-0.8
2418,2011-Q4,construction,construction,construction,8.2
2419,2011-Q4,services,wholesale and retail trade,wholesale trade,2.1
2420,2011-Q4,services,wholesale and retail trade,retail trade,5.5
2421,2011-Q4,services,transportation and storage,land transport and supporting services,0.5
2422,2011-Q4,services,transportation and storage,water transport and supporting services,0.1
2423,2011-Q4,services,transportation and storage,air transport and supporting services,0.5
2424,2011-Q4,services,transportation and storage,other transportation and storage services,-0.1
2425,2011-Q4,services,accommodation and food services,accommodation,1.2
2426,2011-Q4,services,accommodation and food services,food and beverage services,4.7
2427,2011-Q4,services,information and communications,"telecommunications, broadcasting and publishing",0.2
2428,2011-Q4,services,information and communications,it and other information services,2.2
2429,2011-Q4,services,financial and insurance services,financial services,1.2
2430,2011-Q4,services,financial and insurance services,insurance services,0.3
2431,2011-Q4,services,real estate services,real estate services,1.7
